"","Nome Da CLasse","Possui Violacao","Numero de Violacoes","WMC","DIT","NOC","CBO","RFC","LCOM","CA","CE","CPM","LCOM3","LOC","DAM","MOA","MFA","CAM","IC","CBM","AMC"
"1","org.apache.lucene.search.ScoringRewrite","-1","-1","0","0","0","1","1","0","0","1","0","0","5","0","0","0","0","0","0","1.25"
"2","org.apache.lucene.index.TermsHashPerField","-1","-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","org.apache.lucene.search.Weight","1","1","0","0","0","12","0","0","11","1","0","0","0","0","0","0","0","0","0","0"
"4","org.apache.lucene.search.ConstantScoreAutoRewrite","1","7","0","0","0","2","0","0","0","2","0","0","8","0","0","0","-0.00378787878787878","0","0","0.615384615384615"
"5","org.apache.lucene.index.IndexReader","0","14","1","0","0","-17","2","68","-17","0","1","0.000777878149151867","86","0","0","0","0.00643810670910942","0","0","0.904055245371731"
"6","org.apache.lucene.index.Term","1","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"7","org.apache.lucene.search.Similarity","0","-12","0","0","0","-30","0","0","-30","0","0","0","0","0","0","0","0","0","0","0"
"8","org.apache.lucene.search.FieldCacheTermsFilter","-1","-7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","org.apache.lucene.index.MultiReader","0","1","-1","0","0","0","-1","-33","0","0","-1","-0.00784632034632038","-6","0","0","0","0.00698158051099226","0","0","0.433155080213904"
"10","org.apache.lucene.index.TermsEnum","1","4","2","0","0","3","3","29","2","2","2","0.00512820512820511","12","0","0","0","-0.0224358974358974","0","0","0.383928571428571"
"11","org.apache.lucene.search.Query","0","2","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0"
"12","org.apache.lucene.search.BooleanScorer","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","org.apache.lucene.search.IndexSearcher","0","2","2","0","0","4","2","77","1","2","0","0.0361811161811162","-43","0.0181818181818182","1","0","0.0050420168067227","0","0","-2.4312865497076"
"14","org.apache.lucene.search.FieldCache","0","-10","0","0","0","-4","0","0","-4","0","0","0","0","0","0","0","0","0","0","0"
"15","org.apache.lucene.index.IndexReader","0","-6","4","0","0","-6","10","332","-6","1","2","0.00320746562947372","43","0.0476190476190477","0","0","-0.00453771979580261","0","0","-0.0628721783686466"
"16","org.apache.lucene.search.Similarity","0","-7","-4","0","0","-5","-5","-56","-6","-1","-4","0.0392156862745099","-14","-0.166666666666667","-1","0","0.0506375976964212","0","0","1.46825396825397"
"17","org.apache.lucene.index.MultiReader","0","-2","2","0","0","1","5","-15","0","1","2","0.00682773109243695","55","0","0","0","-0.0111832611832612","0","0","0.387012987012987"
"18","org.apache.lucene.index.IndexReader","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","org.apache.lucene.analysis.NumericTokenStream","0","1","1","0","0","0","1","0","0","0","1","0.0376984126984127","4","0","0","0","-0.012962962962963","0","0","-1.6"
"20","org.apache.lucene.analysis.Analyzer","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","org.apache.lucene.index.MultiReader","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","org.apache.lucene.search.FieldCacheTermsFilter","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","org.apache.lucene.store.DataOutput","-1","-11","2","0","-1","-8","3","25","-8","0","2","0.00932400932400934","158","0","0","0","-0.0163170163170163","0","0","8.54761904761905"
"24","org.apache.lucene.search.Query","0","-2","3","0","0","-15","17","39","-16","3","3","0.0779220779220779","178","0","0","0","-0.0484126984126984","0","0","9.75"
"25","org.apache.lucene.util.Constants","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","org.apache.lucene.store.DataInput","-1","-8","0","0","-2","-18","0","0","-18","0","0","0","0","0","0","0","0","0","0","0"
"27","org.apache.lucene.util.IOUtils","0","1","-1","0","0","-2","-1","-2","-2","0","0","0","-34","0","0","0","0.0555555555555556","0","0","-4.33333333333333"
"28","org.apache.lucene.index.SegmentMerger","1","1","2","0","0","-1","8","37","1","-1","-2","0.00817834058831302","179","0","0","0","-0.00187969924812031","0","0","1.64090909090909"
"29","org.apache.lucene.store.MMapDirectory","0","-7","0","0","0","0","0","0","-1","0","0","0.03125","1","0.166666666666667","0","0","0","0","0","0.222222222222225"
"30","org.apache.lucene.search.IndexSearcher","0","-5","-17","-1","0","-42","-48","-467","-33","-13","-8","-0.123323973323973","-406","-0.103896103896104","-4","0","0.0168627450980392","0","0","-1.52506265664161"
"31","org.apache.lucene.store.IndexOutput","0","-2","0","0","0","-6","0","0","-6","0","0","0","0","0","0","0","0","0","0","0"
"32","org.apache.lucene.search.FieldCache","0","10","-6","0","0","-1","-6","-147","6","-7","-6","0","-6","0","0","0","0.00420875420875416","0","0","0.438311688311688"
"33","org.apache.lucene.search.Weight","-1","-1","0","0","0","-13","0","0","-13","-1","0","0","0","0","0","0","0","0","0","0"
