"","Nome Da CLasse","Possui Violacao","Numero de Violacoes","WMC","DIT","NOC","CBO","RFC","LCOM","CA","CE","CPM","LCOM3","LOC","DAM","MOA","MFA","CAM","IC","CBM","AMC"
"1","com.eteks.sweethome3d.swing.SwingViewFactory","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","com.eteks.sweethome3d.swing.ControllerAction","1","1","1","0","0","0","1","1","0","0","1","0","12","0","0","0","0.0535714285714286","0","0","-6.33333333333333"
"3","com.eteks.sweethome3d.swing.ResourceAction","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","com.eteks.sweethome3d.swing.IconManager","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","com.eteks.sweethome3d.swing.FileContentManager","1","11","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0.0625"
"6","com.eteks.sweethome3d.applet.HomeAppletController","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","com.eteks.sweethome3d.applet.ViewerHelper","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","com.eteks.sweethome3d.swing.SwingTools","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","com.eteks.sweethome3d.io.DefaultTexturesCatalog","0","-4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","com.eteks.sweethome3d.swing.SwingViewFactory","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","com.eteks.sweethome3d.swing.ControllerAction","-1","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","com.eteks.sweethome3d.swing.ResourceAction","-1","-3","0","0","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"13","com.eteks.sweethome3d.swing.IconManager","-1","-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","com.eteks.sweethome3d.swing.FileContentManager","-1","-11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
